"id","bank_id","base_rate","region_id","region_group","mortgage_type","real_estate_type","object_type","benefit_program","loan_term_min","loan_term_max","income_confirmation","loan_amount_min","loan_amount_max","down_payment_rate_min","down_payment_rate_max","has_life_insurance","is_not_citizen","employment_type","registration_type","is_active","created_at","shadow_id"
716,1,15.59,"{1,4593,2,4588}",,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{noConfirmation},600000,30000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-26 17:00:00.000 +0300,100933
717,1,15.59,{},regions,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{noConfirmation},600000,15000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-26 17:00:00.000 +0300,100934
718,1,15.09,"{1,4593,2,4588}",,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{noConfirmation},600000,30000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-26 17:00:00.000 +0300,100935
719,1,15.09,{},regions,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{noConfirmation},600000,15000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-09-26 17:00:00.000 +0300,100936
20,1,12.39,"{1,4593,2,4588}",,mortgage,{newBuilding},"{flat,apartments}",noProgram,36,360,{confirmation},600000,70000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,20
21,1,12.39,{},regions,mortgage,{newBuilding},"{flat,apartments}",noProgram,36,360,{confirmation},600000,35000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-04-04 18:18:03.000 +0300,21
100703,1,12.39,"{1,4593,2,4588}",,mortgage,{newBuilding},"{flat,apartments}",noProgram,36,360,{noConfirmation},600000,30000000,20.00,39.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100703
100704,1,12.39,{},regions,mortgage,{newBuilding},"{flat,apartments}",noProgram,36,360,{noConfirmation},600000,15000000,20.00,39.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100704
100705,1,12.39,"{1,4593,2,4588}",,mortgage,{newBuilding},"{flat,apartments}",noProgram,36,360,{noConfirmation},600000,50000000,40.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100705
100706,1,12.39,{},regions,mortgage,{newBuilding},"{flat,apartments}",noProgram,36,360,{noConfirmation},600000,30000000,40.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100706
100707,1,12.89,"{1,4593,2,4588}",,mortgage,{secondary},"{flat,apartments}",noProgram,36,360,{confirmation},600000,70000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100707
100709,1,12.39,"{1,4593,2,4588}",,mortgage,{secondary},"{flat,apartments}",noProgram,36,360,{confirmation},600000,70000000,20.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100709
100711,1,12.89,"{1,4593,2,4588}",,mortgage,{secondary},"{flat,apartments}",noProgram,36,360,{noConfirmation},600000,30000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100711
100712,1,12.89,{},regions,mortgage,{secondary},"{flat,apartments}",noProgram,36,360,{noConfirmation},600000,15000000,15.00,19.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100712
100713,1,12.39,"{1,4593,2,4588}",,mortgage,{secondary},"{flat,apartments}",noProgram,36,360,{noConfirmation},600000,30000000,20.00,39.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100713
100714,1,12.39,{},regions,mortgage,{secondary},"{flat,apartments}",noProgram,36,360,{noConfirmation},600000,15000000,20.00,39.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100714
100716,1,12.39,{},regions,mortgage,{secondary},"{flat,apartments}",noProgram,36,360,{noConfirmation},600000,30000000,40.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100716
100717,1,12.89,"{1,4593,2,4588}",,mortgage,{secondary},{house},noProgram,36,360,{confirmation},600000,70000000,30.00,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-08-10 12:00:03.000 +0300,100717
