"id","bank_id","base_rate","region_id","region_group","mortgage_type","real_estate_type","object_type","benefit_program","loan_term_min","loan_term_max","income_confirmation","loan_amount_min","loan_amount_max","down_payment_rate_min","down_payment_rate_max","has_life_insurance","is_not_citizen","employment_type","registration_type","is_active","created_at","shadow_id","updated_at"
1565,1,17.09,"{1,4593,2,4588}",,mortgage,{secondary},{house},noProgram,36,360,"{confirmation,noConfirmation}",600000,70000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101917,2023-12-04 18:00:00.000 +0300
1566,1,17.09,{},regions,mortgage,{secondary},{house},noProgram,36,360,"{confirmation,noConfirmation}",600000,35000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101918,2023-12-04 18:00:00.000 +0300
1567,1,16.69,"{1,4593,2,4588}",,refinancing,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,"{confirmation,noConfirmation}",600000,70000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101919,2023-12-04 18:00:00.000 +0300
1568,1,16.69,{},regions,refinancing,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,"{confirmation,noConfirmation}",600000,35000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101920,2023-12-04 18:00:00.000 +0300
1569,1,17.19,"{1,4593,2,4588}",,refinancing,{secondary},{house},noProgram,36,360,"{confirmation,noConfirmation}",600000,30000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101921,2023-12-04 18:00:00.000 +0300
1570,1,17.19,{},regions,refinancing,{secondary},{house},noProgram,36,360,"{confirmation,noConfirmation}",600000,15000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",false,2023-12-04 18:00:00.000 +0300,101922,2023-12-04 18:00:00.000 +0300
1571,1,7.80,{},regions,mortgage,{houseBuilding},{house},governmentSupport2020,36,360,"{confirmation,noConfirmation}",600000,12000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:33:43.863 +0300,101935,2023-12-18 21:33:43.863 +0300
1572,1,8.00,"{1,4593,2,4588}",,mortgage,{newBuilding},{flat},governmentSupport2020,36,360,"{confirmation,noConfirmation}",600000,30000000,20.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:33:43.863 +0300,101936,2023-12-18 21:33:43.863 +0300
1573,1,8.00,{},regions,mortgage,{newBuilding},{flat},governmentSupport2020,36,360,"{confirmation,noConfirmation}",600000,12000000,20.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:33:43.863 +0300,101937,2023-12-18 21:33:43.863 +0300
1574,1,8.00,"{1,4593,2,4588}",,mortgage,{newBuilding},{flat},governmentSupport2020,36,360,{confirmation},600000,30000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:33:43.863 +0300,101938,2023-12-18 21:33:43.863 +0300
1575,1,8.00,{},regions,mortgage,{newBuilding},{flat},governmentSupport2020,36,360,{confirmation},600000,12000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:33:43.863 +0300,101939,2023-12-18 21:33:43.863 +0300
1576,1,5.80,"{1,4593,2,4588}",,mortgage,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,30000000,20.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101940,2023-12-18 21:39:26.783 +0300
1577,1,5.80,{},regions,mortgage,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,15000000,20.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101941,2023-12-18 21:39:26.783 +0300
1578,1,5.80,"{1,4593,2,4588}",,mortgage,{newBuilding},{flat},family,36,360,{confirmation},600000,30000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101942,2023-12-18 21:39:26.783 +0300
1579,1,5.80,{},regions,mortgage,{newBuilding},{flat},family,36,360,{confirmation},600000,15000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101943,2023-12-18 21:39:26.783 +0300
1580,1,5.80,"{1,4593,2,4588}",,mortgage,{houseBuilding},{house},family,36,360,"{confirmation,noConfirmation}",600000,30000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101944,2023-12-18 21:39:26.783 +0300
1581,1,5.80,{},regions,mortgage,{houseBuilding},{house},family,36,360,"{confirmation,noConfirmation}",600000,15000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101945,2023-12-18 21:39:26.783 +0300
1582,1,5.80,"{1,4593,2,4588}",,refinancing,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,12000000,20.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101946,2023-12-18 21:39:26.783 +0300
1583,1,5.80,{},regions,refinancing,{newBuilding},{flat},family,36,360,"{confirmation,noConfirmation}",600000,6000000,20.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101947,2023-12-18 21:39:26.783 +0300
1584,1,5.80,"{1,4593,2,4588}",,refinancing,{newBuilding},{flat},family,36,360,{confirmation},600000,12000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101948,2023-12-18 21:39:26.783 +0300
1585,1,5.80,{},regions,refinancing,{newBuilding},{flat},family,36,360,{confirmation},600000,6000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:39:26.783 +0300,101949,2023-12-18 21:39:26.783 +0300
1586,1,7.80,"{1,4593,2,4588}",,mortgage,{houseBuilding},{house},governmentSupport2020,36,360,"{confirmation,noConfirmation}",600000,30000000,30.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,employee,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:33:43.863 +0300,101934,2023-12-18 21:33:43.863 +0300
1587,1,16.59,"{1,4593,2,4588}",,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,"{confirmation,noConfirmation}",600000,70000000,20.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:53:21.309 +0300,101950,2023-12-18 21:53:21.309 +0300
1588,1,16.59,{},regions,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,"{confirmation,noConfirmation}",600000,35000000,20.10,99.99,"{true,false}",{false},{employee},"{permanent,temporary,noRegistration}",true,2023-12-18 21:53:21.309 +0300,101951,2023-12-18 21:53:21.309 +0300
1589,1,16.59,"{1,4593,2,4588}",,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{confirmation},600000,70000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:53:21.309 +0300,101952,2023-12-18 21:53:21.309 +0300
1590,1,16.59,{},regions,mortgage,"{newBuilding,secondary}","{flat,apartments}",noProgram,36,360,{confirmation},600000,35000000,20.10,99.99,"{true,false}",{false},"{businessOwner,entrepreneur,selfEmployed}","{permanent,temporary,noRegistration}",true,2023-12-18 21:53:21.309 +0300,101953,2023-12-18 21:53:21.309 +0300
